,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
98,A-n65-k9,784,"2-opt, shift-1, swap-2-2",1348.862222,1439.079216,55.80128124,3.691666667,"swap-1-1, shift-1, swap-2-2",1347.533201,1443.833455,51.81063505,3.372,0.797098303
99,A-n69-k9,784,"2-opt, shift-1, swap-2-2",1359.18487,1427.008888,45.64063514,3.646666667,"swap-1-1, shift-1, swap-2-2",1356.770955,1443.795407,46.64151445,3.295,0.09777219
100,A-n80-k10,784,"2-opt, shift-1, swap-2-2",2039.149743,2171.016277,62.36541197,3.909,"swap-1-1, shift-1, swap-2-2",2050.595135,2171.184496,63.45210098,3.582333333,0.893644387
101,B-n31-k5,784,"2-opt, shift-1, swap-2-2",690.4165868,711.4701313,24.84538863,2.416333333,"swap-1-1, shift-1, swap-2-2",686.4372154,713.123038,29.75649794,2.18,0.975387164
102,B-n34-k5,784,"2-opt, shift-1, swap-2-2",802.3157093,848.0845402,28.19123321,2.383333333,"swap-1-1, shift-1, swap-2-2",802.1654061,845.3611825,38.13840691,2.132333333,0.557742686
103,B-n35-k5,784,"2-opt, shift-1, swap-2-2",986.5179087,1033.458758,33.91584673,2.419333333,"swap-1-1, shift-1, swap-2-2",990.3877191,1021.061088,18.7554375,2.203666667,0.465282582
104,B-n38-k6,784,"2-opt, shift-1, swap-2-2",836.2079679,866.5778874,21.92452746,2.653666667,"swap-1-1, shift-1, swap-2-2",819.3627961,856.9699905,28.19774512,2.4,0.018518975
105,B-n39-k5,784,"2-opt, shift-1, swap-2-2",578.4973772,627.9476483,40.63453722,2.511333333,"swap-1-1, shift-1, swap-2-2",576.1882594,656.6533188,56.88893661,2.268666667,0.038723026
106,B-n41-k6,784,"2-opt, shift-1, swap-2-2",889.2351788,1013.937052,103.0078375,2.677,"swap-1-1, shift-1, swap-2-2",865.6348632,949.9324106,48.07244476,2.445,0.006835856
107,B-n43-k6,784,"2-opt, shift-1, swap-2-2",785.4421185,830.067843,35.96230234,2.725333333,"swap-1-1, shift-1, swap-2-2",779.3701345,834.985576,38.22568341,2.488333333,0.465282582
108,B-n44-k7,784,"2-opt, shift-1, swap-2-2",965.8069629,1045.74123,41.09966438,2.845666667,"swap-1-1, shift-1, swap-2-2",950.548965,1019.330231,38.52792343,2.592666667,0.016565527
109,B-n45-k5,784,"2-opt, shift-1, swap-2-2",783.4360307,864.6527763,79.33567762,2.718666667,"swap-1-1, shift-1, swap-2-2",793.950876,886.4234843,49.25323223,2.479666667,0.07864666
110,B-n45-k6,784,"2-opt, shift-1, swap-2-2",744.4409899,774.0877006,32.1090129,2.891,"swap-1-1, shift-1, swap-2-2",729.2150445,790.326118,35.25860975,2.672,0.027029157
111,B-n50-k7,784,"2-opt, shift-1, swap-2-2",788.1488956,835.624282,41.02159069,2.95,"swap-1-1, shift-1, swap-2-2",780.7681876,881.1158538,44.15847928,2.713666667,0.00210526
112,B-n50-k8,784,"2-opt, shift-1, swap-2-2",1374.877623,1444.633995,37.06100224,3.078,"swap-1-1, shift-1, swap-2-2",1350.047687,1392.501433,30.61847849,2.838,3.11E-05
113,B-n51-k7,784,"2-opt, shift-1, swap-2-2",1056.445097,1173.056146,149.8160316,3.104333333,"swap-1-1, shift-1, swap-2-2",1067.176255,1174.836651,66.87970403,2.899,0.110925665
114,B-n52-k7,784,"2-opt, shift-1, swap-2-2",790.6523874,844.670091,35.58306616,3.018666667,"swap-1-1, shift-1, swap-2-2",784.0245743,894.6353259,66.40683445,2.770666667,0.004389618
115,B-n56-k7,784,"2-opt, shift-1, swap-2-2",777.2898782,825.6563319,43.2923173,3.046666667,"swap-1-1, shift-1, swap-2-2",771.5814235,844.2117851,55.72816866,2.815333333,0.213358073
116,B-n57-k7,784,"2-opt, shift-1, swap-2-2",1175.338625,1281.667028,63.9093078,3.204666667,"swap-1-1, shift-1, swap-2-2",1191.820754,1346.845254,89.43591379,2.977666667,0.003161765
117,B-n57-k9,784,"2-opt, shift-1, swap-2-2",1693.995076,1758.949037,45.12307763,3.338666667,"swap-1-1, shift-1, swap-2-2",1689.12359,1749.127308,34.06833713,3.095333333,0.557742686
118,B-n63-k10,784,"2-opt, shift-1, swap-2-2",1651.328151,1737.300717,46.4123556,3.613,"swap-1-1, shift-1, swap-2-2",1651.783368,1737.600372,51.62229809,3.397,0.614314564
119,B-n64-k9,784,"2-opt, shift-1, swap-2-2",956.1463398,1015.184978,43.58232001,3.568333333,"swap-1-1, shift-1, swap-2-2",937.7629708,1028.375175,45.91158856,3.372666667,0.393334372
120,B-n66-k9,784,"2-opt, shift-1, swap-2-2",1396.417696,1541.161155,71.35834687,3.540666667,"swap-1-1, shift-1, swap-2-2",1417.529769,1555.602745,61.10661479,3.339333333,0.404834722
121,B-n67-k10,784,"2-opt, shift-1, swap-2-2",1159.295083,1231.991947,49.88647666,3.617333333,"swap-1-1, shift-1, swap-2-2",1161.774817,1229.247543,54.12538504,3.407333333,0.734325291
122,B-n68-k9,784,"2-opt, shift-1, swap-2-2",1408.498694,1493.218709,52.89936233,3.507,"swap-1-1, shift-1, swap-2-2",1392.187807,1489.200183,46.10465323,3.296333333,0.958990172
123,B-n78-k10,784,"2-opt, shift-1, swap-2-2",1381.324617,1493.912873,59.82803118,3.810666667,"swap-1-1, shift-1, swap-2-2",1428.064149,1518.402923,54.37625143,3.617,0.135907785
124,P-n101-k4,784,"2-opt, shift-1, swap-2-2",998.224199,1065.52802,30.1685113,3.467666667,"swap-1-1, shift-1, swap-2-2",1068.020607,1180.845462,52.54519513,3.293666667,1.92E-06
125,P-n16-k8,784,"2-opt, shift-1, swap-2-2",451.3350802,459.8751803,7.212539274,2.227333333,"swap-1-1, shift-1, swap-2-2",451.3350802,455.306804,5.317237636,2.213666667,0.005196939
